wavelength,slit_0.25_nm,wavelength,slit_1.0_nm,wavelength,slit_2.0_nm,wavelength,slit_4.0_nm
245.9,0.052,265.500,0.160,276.900,0.077,286.300,0.026
246.1,-0.131,265.800,0.150,277.400,0.074,286.700,0.024
246.5,-0.140,266.300,0.147,277.900,0.073,287.200,0.022
246.4,-0.158,266.800,0.152,278.400,0.071,287.700,0.020
246.6,-0.033,267.200,0.164,278.900,0.070,288.200,0.018
246.6,-0.050,267.500,0.178,279.300,0.068,288.700,0.017
246.6,-0.063,267.900,0.187,279.800,0.069,289.200,0.015
246.6,-0.076,268.300,0.182,280.300,0.067,289.600,0.013
246.6,-0.089,268.600,0.169,280.800,0.066,289.900,0.013
246.6,-0.101,269.000,0.160,281.300,0.066,,
246.6,-0.113,269.300,0.149,281.700,0.064,,
246.7,-0.125,269.600,0.138,282.200,0.062,,
246.8,0.024,270.100,0.126,282.700,0.061,,
246.8,0.095,270.500,0.117,283.200,0.059,,
246.7,0.082,271.000,0.109,283.700,0.057,,
246.8,0.068,271.500,0.104,284.200,0.054,,
246.7,0.056,271.900,0.101,284.600,0.052,,
246.8,0.044,272.400,0.099,285.100,0.049,,
246.9,0.005,272.900,0.097,285.600,0.046,,
246.8,-0.009,273.400,0.096,286.100,0.044,,
246.9,-0.022,273.800,0.095,286.600,0.041,,
246.7,-0.138,274.300,0.093,287.000,0.039,,
246.7,-0.154,274.800,0.093,287.500,0.037,,
246.9,0.110,275.200,0.092,288.100,0.034,,
247.1,-0.038,275.700,0.089,288.600,0.032,,
247.1,-0.054,276.200,0.087,289.100,0.031,,
247.1,-0.066,276.600,0.086,289.500,0.028,,
247.0,-0.078,277.100,0.083,289.900,0.028,,
247.0,-0.093,277.600,0.082,,,,
247.0,-0.104,278.000,0.080,,,,
247.0,-0.112,278.500,0.078,,,,
247.0,-0.124,279.000,0.077,,,,
247.2,0.030,279.500,0.076,,,,
247.3,0.007,279.900,0.076,,,,
247.3,-0.011,280.400,0.074,,,,
247.3,-0.023,280.900,0.073,,,,
247.4,0.045,281.300,0.073,,,,
247.5,-0.041,281.800,0.072,,,,
247.5,0.026,282.300,0.069,,,,
247.6,-0.056,282.700,0.068,,,,
247.6,-0.070,283.200,0.065,,,,
247.6,-0.083,283.700,0.064,,,,
247.6,-0.095,284.200,0.062,,,,
247.6,-0.108,284.600,0.058,,,,
247.6,-0.121,285.100,0.055,,,,
247.7,-0.132,285.600,0.054,,,,
248.1,-0.068,286.000,0.051,,,,
248.0,-0.086,286.500,0.048,,,,
248.0,-0.099,287.000,0.047,,,,
248.0,-0.111,287.400,0.044,,,,
248.0,-0.123,287.900,0.042,,,,
248.0,-0.131,288.400,0.041,,,,
248.4,0.013,288.900,0.038,,,,
248.3,-0.005,289.300,0.036,,,,
248.3,-0.017,289.800,0.034,,,,
248.3,-0.032,,,,,,
248.4,-0.045,,,,,,
248.4,-0.057,,,,,,
248.4,0.054,,,,,,
248.4,0.038,,,,,,
248.3,0.032,,,,,,
248.4,0.088,,,,,,
248.6,0.075,,,,,,
248.5,-0.077,,,,,,
248.7,0.001,,,,,,
248.6,-0.010,,,,,,
248.8,-0.025,,,,,,
249.0,0.020,,,,,,
248.9,0.055,,,,,,
248.9,0.039,,,,,,
248.8,0.029,,,,,,
249.0,0.120,,,,,,
249.1,0.102,,,,,,
249.1,0.089,,,,,,
249.1,0.078,,,,,,
249.2,0.065,,,,,,
249.0,0.171,,,,,,
249.0,0.158,,,,,,
249.0,0.146,,,,,,
249.0,0.133,,,,,,
249.3,0.003,,,,,,
249.3,-0.014,,,,,,
249.1,-0.028,,,,,,
249.5,-0.043,,,,,,
249.4,-0.059,,,,,,
249.3,-0.074,,,,,,
249.4,0.045,,,,,,
249.4,0.031,,,,,,
249.3,0.019,,,,,,
249.4,0.091,,,,,,
249.5,0.074,,,,,,
249.5,0.062,,,,,,
249.6,-0.132,,,,,,
249.8,-0.022,,,,,,
249.6,-0.087,,,,,,
249.7,-0.103,,,,,,
249.6,-0.112,,,,,,
249.8,-0.048,,,,,,
249.7,-0.062,,,,,,
249.7,-0.075,,,,,,
250.0,-0.003,,,,,,
250.2,-0.035,,,,,,
250.2,0.019,,,,,,
250.4,-0.002,,,,,,
250.4,-0.014,,,,,,
250.5,0.076,,,,,,
250.4,0.059,,,,,,
250.5,0.046,,,,,,
250.6,0.033,,,,,,
250.4,0.127,,,,,,
250.5,0.109,,,,,,
250.6,0.097,,,,,,
250.6,0.088,,,,,,
250.8,0.022,,,,,,
250.8,0.008,,,,,,
250.8,-0.025,,,,,,
250.8,-0.041,,,,,,
250.8,-0.055,,,,,,
250.9,-0.068,,,,,,
250.9,-0.083,,,,,,
251.0,-0.007,,,,,,
251.0,0.073,,,,,,
251.1,0.056,,,,,,
251.1,0.043,,,,,,
251.1,0.034,,,,,,
250.9,0.139,,,,,,
251.1,0.127,,,,,,
251.1,0.114,,,,,,
251.1,0.102,,,,,,
251.1,0.089,,,,,,
251.0,-0.113,,,,,,
251.0,-0.093,,,,,,
251.3,0.024,,,,,,
251.3,0.011,,,,,,
251.3,-0.024,,,,,,
251.1,-0.044,,,,,,
251.5,0.077,,,,,,
251.5,0.175,,,,,,
251.5,0.165,,,,,,
251.5,0.152,,,,,,
251.6,0.138,,,,,,
251.6,0.125,,,,,,
251.6,0.112,,,,,,
251.6,0.100,,,,,,
251.6,0.089,,,,,,
251.7,0.061,,,,,,
251.7,0.043,,,,,,
251.7,0.029,,,,,,
251.8,-0.004,,,,,,
251.7,-0.020,,,,,,
251.9,0.014,,,,,,
251.9,-0.042,,,,,,
252.2,0.056,,,,,,
252.1,0.041,,,,,,
252.1,0.030,,,,,,
252.3,0.092,,,,,,
252.3,0.077,,,,,,
252.4,0.069,,,,,,
252.8,0.059,,,,,,
252.7,0.040,,,,,,
253.0,0.076,,,,,,
253.1,0.094,,,,,,
253.1,0.037,,,,,,
253.2,0.157,,,,,,
253.1,0.140,,,,,,
253.1,0.128,,,,,,
253.1,0.114,,,,,,
253.0,0.104,,,,,,
253.2,0.057,,,,,,
253.1,0.045,,,,,,
253.2,0.077,,,,,,
253.3,0.272,,,,,,
253.3,0.259,,,,,,
253.3,0.246,,,,,,
253.3,0.234,,,,,,
253.3,0.218,,,,,,
253.3,0.206,,,,,,
253.3,0.193,,,,,,
253.5,0.181,,,,,,
253.6,0.166,,,,,,
253.7,0.147,,,,,,
253.8,0.207,,,,,,
253.9,0.194,,,,,,
253.9,0.181,,,,,,
253.9,0.169,,,,,,
254.0,0.126,,,,,,
254.0,0.113,,,,,,
254.1,0.101,,,,,,
254.0,0.085,,,,,,
254.1,0.151,,,,,,
254.1,0.139,,,,,,
254.1,0.072,,,,,,
254.1,0.060,,,,,,
254.2,0.048,,,,,,
254.1,0.035,,,,,,
254.1,0.018,,,,,,
254.4,0.229,,,,,,
254.4,0.212,,,,,,
254.5,0.197,,,,,,
254.4,0.184,,,,,,
254.4,0.172,,,,,,
254.5,0.158,,,,,,
254.3,0.284,,,,,,
254.5,0.267,,,,,,
254.6,0.256,,,,,,
254.5,0.246,,,,,,
254.5,0.140,,,,,,
254.5,0.125,,,,,,
254.5,0.114,,,,,,
254.7,0.230,,,,,,
255.1,0.220,,,,,,
255.0,0.202,,,,,,
255.0,0.191,,,,,,
255.0,0.179,,,,,,
255.1,0.166,,,,,,
255.4,0.252,,,,,,
255.4,0.235,,,,,,
255.3,0.347,,,,,,
255.3,0.335,,,,,,
255.3,0.322,,,,,,
255.4,0.304,,,,,,
255.4,0.292,,,,,,
255.5,0.280,,,,,,
255.4,0.270,,,,,,
255.5,0.217,,,,,,
255.4,0.200,,,,,,
255.6,0.187,,,,,,
256.1,0.255,,,,,,
256.0,0.240,,,,,,
255.9,0.228,,,,,,
256.1,0.217,,,,,,
256.1,0.205,,,,,,
256.0,0.167,,,,,,
256.2,0.150,,,,,,
256.1,0.132,,,,,,
256.1,0.116,,,,,,
256.2,0.275,,,,,,
256.3,0.186,,,,,,
256.1,0.360,,,,,,
256.2,0.347,,,,,,
256.2,0.335,,,,,,
256.2,0.322,,,,,,
256.2,0.309,,,,,,
256.2,0.297,,,,,,
256.4,0.233,,,,,,
256.3,0.253,,,,,,
256.5,0.212,,,,,,
256.7,0.171,,,,,,
256.6,0.155,,,,,,
256.7,0.200,,,,,,
256.7,0.137,,,,,,
256.7,0.125,,,,,,
256.7,0.112,,,,,,
256.6,0.096,,,,,,
256.7,0.228,,,,,,
257.0,0.188,,,,,,
257.0,0.170,,,,,,
257.1,0.158,,,,,,
257.0,0.208,,,,,,
257.2,0.142,,,,,,
257.6,0.176,,,,,,
257.7,0.156,,,,,,
257.8,0.145,,,,,,
257.6,0.124,,,,,,
257.9,0.221,,,,,,
257.9,0.207,,,,,,
257.9,0.194,,,,,,
258.0,0.178,,,,,,
258.2,0.159,,,,,,
258.0,0.263,,,,,,
258.0,0.251,,,,,,
258.0,0.238,,,,,,
258.3,0.142,,,,,,
258.6,0.126,,,,,,
258.4,0.109,,,,,,
258.5,0.197,,,,,,
258.5,0.184,,,,,,
258.5,0.172,,,,,,
258.9,0.158,,,,,,
258.8,0.142,,,,,,
258.7,0.099,,,,,,
259.0,0.175,,,,,,
259.0,0.192,,,,,,
259.1,0.221,,,,,,
259.1,0.203,,,,,,
259.3,0.251,,,,,,
259.2,0.234,,,,,,
259.3,0.297,,,,,,
259.3,0.276,,,,,,
259.3,0.263,,,,,,
259.5,0.341,,,,,,
259.4,0.331,,,,,,
259.4,0.314,,,,,,
259.6,0.361,,,,,,
259.9,0.410,,,,,,
259.7,0.396,,,,,,
259.7,0.379,,,,,,
259.9,0.445,,,,,,
259.9,0.488,,,,,,
259.9,0.475,,,,,,
259.9,0.463,,,,,,
260.2,0.429,,,,,,
260.2,0.404,,,,,,
260.1,0.387,,,,,,
260.2,0.369,,,,,,
260.4,0.446,,,,,,
260.5,0.413,,,,,,
260.5,0.492,,,,,,
260.5,0.475,,,,,,
260.5,0.460,,,,,,
260.5,0.511,,,,,,
260.8,0.432,,,,,,
260.8,0.392,,,,,,
260.8,0.370,,,,,,
261.2,0.412,,,,,,
261.1,0.460,,,,,,
261.0,0.447,,,,,,
261.1,0.488,,,,,,
261.1,0.475,,,,,,
261.2,0.436,,,,,,
261.6,0.397,,,,,,
261.5,0.381,,,,,,
261.9,0.371,,,,,,
261.9,0.358,,,,,,
261.9,0.345,,,,,,
262.0,0.333,,,,,,
262.1,0.321,,,,,,
261.9,0.391,,,,,,
262.5,0.312,,,,,,
262.4,0.297,,,,,,
262.5,0.280,,,,,,
262.8,0.267,,,,,,
262.8,0.255,,,,,,
262.9,0.242,,,,,,
262.8,0.229,,,,,,
263.3,0.206,,,,,,
263.3,0.197,,,,,,
263.8,0.194,,,,,,
264.1,0.179,,,,,,
264.2,0.166,,,,,,
264.3,0.187,,,,,,
264.5,0.172,,,,,,
264.7,0.155,,,,,,
264.8,0.138,,,,,,
265.3,0.125,,,,,,
265.8,0.123,,,,,,
266.1,0.102,,,,,,
266.4,0.122,,,,,,
266.8,0.112,,,,,,
267.3,0.121,,,,,,
267.5,0.139,,,,,,
267.5,0.150,,,,,,
267.8,0.162,,,,,,
267.9,0.170,,,,,,
268.3,0.157,,,,,,
268.7,0.140,,,,,,
269.1,0.131,,,,,,
269.3,0.112,,,,,,
269.7,0.107,,,,,,
270.2,0.088,,,,,,
270.7,0.075,,,,,,
271.1,0.074,,,,,,
271.5,0.065,,,,,,
271.6,0.074,,,,,,
272.1,0.064,,,,,,
272.6,0.059,,,,,,
273.0,0.063,,,,,,
273.1,0.054,,,,,,
273.4,0.062,,,,,,
273.9,0.062,,,,,,
274.3,0.058,,,,,,
274.8,0.056,,,,,,
275.3,0.055,,,,,,
275.8,0.052,,,,,,
276.3,0.051,,,,,,
276.8,0.050,,,,,,
277.2,0.047,,,,,,
277.7,0.046,,,,,,
278.2,0.043,,,,,,
278.7,0.042,,,,,,
279.2,0.040,,,,,,
279.7,0.039,,,,,,
280.1,0.038,,,,,,
280.6,0.036,,,,,,
281.1,0.038,,,,,,
281.6,0.034,,,,,,
282.1,0.031,,,,,,
282.5,0.032,,,,,,
283.0,0.030,,,,,,
283.5,0.027,,,,,,
284.0,0.025,,,,,,
284.5,0.020,,,,,,
284.9,0.017,,,,,,
285.4,0.017,,,,,,
285.8,0.013,,,,,,
286.4,0.011,,,,,,
286.9,0.008,,,,,,
287.4,0.006,,,,,,
287.8,0.003,,,,,,
288.3,0.000,,,,,,
288.8,-0.002,,,,,,
289.3,-0.002,,,,,,
289.7,-0.005,,,,,,
